frame,x,y
0,497,166
1,497,166
2,497,168
3,497,168
4,497,168
5,497,168
6,497,168
7,497,168
8,497,168
9,497,168
10,497,168
11,497,169
12,497,169
13,497,172
14,497,173
15,497,173
16,497,174
17,497,174
18,497,174
19,497,174
20,497,174
21,497,174
22,497,174
23,497,174
24,497,174
25,497,174
26,497,176
27,497,177
28,497,177
29,497,177
30,497,177
31,497,178
32,497,179
33,497,181
34,497,182
35,497,185
36,493,196
37,426,281
38,108,579
39,108,579
40,0,599
41,0,599
42,0,599
43,0,599
44,0,599
45,0,599
46,0,599
47,0,599
48,0,599
49,0,599
50,109,235
51,137,223
52,166,214
53,177,214
54,184,218
55,198,246
56,207,296
57,220,397
58,241,524
59,241,524
60,285,599
61,285,599
62,285,599
63,285,599
64,285,599
65,285,599
66,285,599
67,392,575
68,423,459
69,438,305
70,444,287
71,447,279
72,447,278
73,447,278
74,440,285
75,433,297
76,428,308
77,425,320
78,425,334
79,430,362
80,453,406
81,480,454
82,492,464
83,496,465
84,502,462
85,507,459
86,510,457
87,511,456
88,496,453
89,449,430
90,340,370
91,214,300
92,98,248
93,77,241
94,71,241
95,71,241
96,71,241
97,75,243
98,89,258
99,127,299
100,190,346
101,236,361
102,251,354
103,260,340
104,262,327
105,262,321
106,261,319
107,261,319
108,260,319
109,258,318
110,258,318
111,258,318
112,259,319
113,268,329
114,284,349
115,310,378
116,321,388
117,328,390
118,346,390
119,376,389
120,406,389
121,418,389
122,419,389
123,413,386
124,382,369
125,313,330
126,235,295
127,221,287
128,214,283
129,210,281
130,207,278
131,205,276
132,205,275
133,208,272
134,226,266
135,241,263
136,257,260
137,266,260
138,308,289
139,360,337
140,412,390
141,437,411
142,442,417
143,443,418
144,439,420
145,420,426
146,409,431
147,407,432
148,407,432
149,407,432
150,402,425
151,395,417
152,389,408
153,387,402
154,387,379
155,394,337
156,399,304
157,401,282
158,401,278
159,401,277
160,400,277
161,400,277
162,400,277
163,400,284
164,405,306
165,410,328
166,413,355
167,416,362
168,418,366
169,423,368
170,426,369
171,426,369
172,426,369
173,414,370
174,387,361
175,340,327
176,297,301
177,284,293
178,282,291
179,282,290
180,282,289
181,289,286
182,311,279
183,340,272
184,368,272
185,386,278
186,387,295
187,372,318
188,342,349
189,315,367
190,303,372
