frame,x,y
0,378,278
1,378,278
2,378,278
3,378,278
4,378,278
5,378,278
6,378,278
7,378,278
8,378,278
9,378,278
10,378,278
11,378,278
12,378,278
13,378,278
14,378,278
15,378,278
16,378,278
17,378,278
18,378,278
19,378,278
20,378,278
21,378,278
22,378,278
23,378,278
24,378,278
25,378,278
26,378,278
27,378,278
28,378,278
29,378,278
30,378,278
31,378,278
32,378,278
33,378,278
34,378,278
35,378,278
36,378,278
37,378,278
38,378,278
39,378,278
40,378,278
41,378,278
42,378,278
43,378,278
44,378,278
45,378,278
46,378,278
47,378,278
48,378,278
49,378,278
50,378,278
51,378,278
52,378,278
53,378,278
54,378,278
55,378,278
56,378,278
57,378,278
58,378,278
59,378,278
60,378,278
61,378,278
62,378,278
63,378,278
64,378,278
65,378,278
66,378,278
67,378,278
68,378,278
69,378,278
70,378,278
71,378,278
72,378,278
73,378,278
74,378,278
75,378,278
76,378,278
77,378,278
78,378,278
79,378,278
80,378,278
81,378,278
82,378,278
83,378,278
84,378,278
85,378,278
86,378,278
87,378,278
88,378,278
89,378,278
90,378,278
91,378,278
92,378,278
93,378,278
94,378,278
95,378,278
96,378,278
97,378,278
98,378,278
99,378,278
100,378,278
101,378,278
102,378,278
103,378,278
104,378,278
105,378,278
106,378,278
107,378,278
108,378,278
109,378,278
110,378,278
111,378,278
112,378,278
113,378,278
114,378,278
115,378,278
116,378,278
117,378,278
118,378,278
119,378,278
120,378,278
121,378,278
122,378,278
123,378,278
124,378,278
125,378,278
126,378,278
127,378,278
128,378,278
129,378,278
130,378,278
131,378,278
132,378,278
133,378,278
134,378,278
135,378,278
136,378,278
137,378,278
138,378,278
139,378,278
140,378,278
141,378,278
142,378,278
143,378,278
144,378,278
145,378,278
146,378,278
147,378,278
148,378,278
149,378,278
150,378,278
151,378,278
152,378,278
153,378,278
154,378,278
155,378,278
156,378,278
157,378,278
158,378,278
159,378,278
160,378,278
161,378,278
162,378,278
163,378,278
164,378,278
165,378,278
166,378,278
167,378,278
168,378,278
169,378,278
170,378,278
171,378,278
172,378,278
173,378,278
174,378,278
175,378,278
176,378,278
177,378,278
178,378,278
179,378,278
180,378,278
181,378,278
182,378,278
183,378,278
184,378,278
185,378,278
186,378,278
187,378,278
188,378,278
189,378,278
190,378,278
191,378,278
192,378,278
193,378,278
194,378,278
195,378,278
196,378,278
197,378,278
198,378,278
199,378,278
200,378,278
201,378,278
202,378,278
203,378,278
204,378,278
205,378,278
206,378,278
207,378,278
208,378,278
209,378,278
210,378,278
211,378,278
212,378,278
213,378,278
214,378,278
215,378,278
216,378,278
217,378,278
218,378,278
219,378,278
220,378,278
221,378,278
222,378,278
223,378,278
224,378,278
225,378,278
226,378,278
227,378,278
228,378,278
229,378,278
230,378,278
231,378,278
232,378,278
233,378,278
234,378,278
235,378,278
236,378,278
237,378,278
238,378,278
239,378,278
240,378,278
241,378,278
242,378,278
243,378,278
244,378,278
245,378,278
246,378,278
247,378,278
248,378,278
249,378,278
250,378,278
251,378,278
252,378,278
253,378,278
254,378,278
255,378,278
256,378,278
257,378,278
258,378,278
259,378,278
260,378,278
261,378,278
262,378,278
263,378,278
264,378,278
265,378,278
266,378,278
267,378,278
268,378,278
269,378,278
270,378,278
271,378,278
272,378,278
273,378,278
274,378,278
275,378,278
276,378,278
277,378,278
278,378,278
279,378,278
280,378,278
281,378,278
282,378,278
283,378,278
284,378,278
285,378,278
286,378,278
287,378,278
288,378,278
289,378,278
290,378,278
291,378,278
292,378,278
293,378,278
294,378,278
295,378,278
296,378,278
297,378,278
298,378,278
299,378,278
300,378,278
301,378,278
302,378,278
303,378,278
304,378,278
305,378,278
306,378,278
307,378,278
308,378,278
309,378,278
310,378,278
311,378,278
312,378,278
313,378,278
314,378,278
315,378,278
316,378,278
317,378,278
318,378,278
319,378,278
320,378,278
321,378,278
322,378,278
323,378,278
324,378,278
325,378,278
326,378,278
327,378,278
328,378,278
329,378,278
330,378,278
331,378,278
332,378,278
333,378,278
334,378,278
335,378,278
336,378,278
337,378,278
338,378,278
339,378,278
340,378,278
341,378,278
342,378,278
343,378,278
344,378,278
345,378,278
346,378,278
347,378,278
348,378,278
349,378,278
350,378,278
351,378,278
352,378,278
353,378,278
354,378,278
355,378,278
356,378,278
357,378,278
358,378,278
359,378,278
360,378,278
