frame,x,y
0,386,350
1,385,350
2,385,350
3,385,350
4,385,350
5,385,350
6,385,350
7,385,350
8,385,350
9,385,350
10,385,350
11,385,350
12,385,350
13,385,350
14,385,350
15,368,328
16,284,251
17,172,144
18,175,122
19,227,95
20,301,83
21,349,85
22,388,97
23,404,110
24,410,123
25,411,133
26,409,144
27,398,152
28,385,160
29,344,174
30,298,196
31,245,244
32,230,263
33,226,277
34,231,286
35,254,296
36,290,302
37,355,300
38,417,281
39,455,266
40,465,261
41,465,261
42,442,265
43,323,300
44,246,325
45,216,339
46,211,341
47,211,341
48,211,341
49,212,341
50,227,341
51,274,346
52,358,346
53,443,339
54,473,331
55,474,331
56,422,342
57,317,372
58,222,403
59,160,419
60,144,420
61,141,416
62,141,400
63,154,375
64,183,332
65,235,275
66,296,224
67,324,202
68,327,198
69,327,198
70,305,220
71,287,256
72,281,305
73,281,360
74,276,403
75,267,430
76,265,435
77,265,435
78,278,411
79,327,332
80,389,245
81,434,171
82,459,126
83,465,113
84,465,111
85,465,111
86,462,112
87,454,124
88,439,154
89,412,200
90,389,246
91,383,275
92,392,281
93,412,277
94,437,249
95,456,201
96,464,149
97,460,98
98,454,63
99,451,49
100,450,47
101,445,47
102,416,77
103,383,128
104,359,189
105,354,248
106,358,281
107,368,297
108,381,309
109,391,314
110,395,317
111,395,317
112,370,308
113,289,276
114,190,251
115,147,241
116,147,241
117,161,244
118,205,264
119,242,291
120,266,327
121,284,352
122,296,369
123,300,374
124,300,373
125,282,351
126,234,311
127,187,280
128,184,279
129,184,276
130,203,272
131,222,270
132,233,268
133,244,266
134,260,266
135,290,269
136,317,272
137,321,273
138,314,273
139,283,265
140,241,249
141,209,233
142,196,222
143,194,214
144,201,208
145,219,204
146,233,204
147,248,203
148,253,203
149,258,203
150,261,202
151,265,202
152,271,206
153,279,218
154,292,239
155,309,261
156,323,277
157,327,285
158,322,289
159,291,295
160,239,296
161,201,298
162,203,287
163,278,252
164,403,212
165,512,188
166,555,185
167,561,186
168,557,194
169,535,207
170,509,223
171,495,230
172,488,231
173,488,231
174,488,231
175,488,232
176,501,242
177,527,263
178,566,290
179,593,318
180,608,338
181,611,356
182,609,370
183,585,383
184,565,386
185,545,379
186,537,363
187,542,341
188,572,312
189,625,282
190,658,264
191,662,261
192,652,262
193,586,295
194,470,345
195,357,392
196,300,410
197,290,412
198,289,411
199,293,396
200,307,369
201,339,332
202,378,303
203,417,283
204,434,275
205,435,273
206,418,273
207,357,272
208,263,272
